address,career_objective,skills,educational_institution_name,degree_names,passing_years,educational_results,result_types,major_field_of_studies,professional_company_names,company_urls,start_dates,end_dates,related_skils_in_job,positions,locations,responsibilities,extra_curricular_activity_types,extra_curricular_organization_names,extra_curricular_organization_links,role_positions,languages,proficiency_levels,certification_providers,certification_skills,online_links,issue_dates,expiry_dates,job_position_name,educationaL_requirements,experiencere_requirement,age_requirement,responsibilities.1,skills_required,matched_score
,,"['Software Development', 'Machine Learning', 'Deep Learning', 'Risk Assessment', 'Requirement Gathering', 'Application Support', 'JavaScript', 'Python', 'Docker', 'HTML', 'Hive', 'CSS', 'C', 'C++']","['Birla Institute of Technology (BIT), Ranchi']",['B.Tech'],['2018'],['N/A'],['N/A'],['Electronics/Telecommunication'],['Axis Bank Limited'],['N/A'],['June 2018'],['Till Date'],"[['Unified Payment Interface', 'Risk Prediction', 'Big Data', 'Spark', 'PySpark']]",['Software Developer (Machine Learning Engineer)'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",,,,,,,,,"https://github.com/nicolewhite, https://leetcode.com/williamfiset",,,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.416666667
,,"['Net, photo, agile, analyst', 'Apple', 'automation', 'banking', 'budgets', 'business plan', 'closing', 'com', 'consulting', 'content', 'contracts', 'credit', 'encryption', 'client', 'customer satisfaction', 'data migration', 'database administration', 'driving', 'e-commerce', 'features', 'financial', 'hiring', 'imaging', 'information technology', 'insurance', 'interpretation', 'inventory', 'managing', 'market planning', 'marketing', 'market', 'marketing and sales', 'messaging', 'office', 'new product development', 'developer', 'order management', 'camera', 'policies', 'presenting', 'pricing', 'procurement', 'product development', 'Product manager', 'product management', 'product marketing', 'program management', 'quality', 'quality assurance', 'QA', 'radio', 'real-time', 'receiving', 'retail', 'sales', 'sales management', 'shipping', 'software development', 'stories', 'strategy', 'supply chain', 'technical support', 'television', 'upgrades', 'UI design', 'utilities', 'venture capital', 'vision', 'workflow', 'year-end']","['Georgia Institute of Technology', 'Rutgers University']","['Master of Science', 'Bachelor of Science']","['2006', '1992']","[None, None]","[None, None]","['Management of Technology', 'Computer Science']","['Calero', 'CLA', 'PictureU', 'Ticket Alternative', 'Triplingo', 'Deposco', 'SVG (Servigistics)', 'Commerce Science', 'N/A', 'MediaOcean']","['https://www.calero.com', 'https://www.clacorp.com', 'https://www.pictureu.com', 'https://www.ticketalternative.com', 'https://www.triplingo.com', 'https://www.deposco.com', 'https://www.servigistics.com', 'https://www.commercescience.com', None, 'https://www.mediaocean.com']","['04/2018', '04/2016', '08/2013', '02/2012', '01/2011', '01/2009', '09/2006', '04/2004', '01/2003', '10/1999']","['05/2018', '04/2018', '04/2016', '08/2013', '02/2012', '12/2010', '12/2008', '09/2006', '04/2004', '11/2002']","[['communication', 'networks'], ['agile', 'UI design', 'mobile development'], ['imaging', 'product management'], ['e-commerce', 'UI design'], ['mobile development', 'UI design'], ['software development', 'technology development'], ['product marketing', 'sales'], ['product management', 'program management'], ['technical consulting', 'web services design'], ['electronic sales management', 'venture capital']]","['Director of Engineering', 'Sr. Director Software Development', 'VP of Engineering and Operations', 'CTO', 'Co-Founder and COO', 'VP of Engineering', 'VP Solutions Sales', 'CTO', 'Independent Consultant', 'CTO & Founder']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A', 'N/A']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,,,,,,,,"https://github.com/fireship-io, https://leetcode.com/striver_79",,,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,Age 25 to 32 years,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",0.76
,,"['advertising', 'competitive', 'content', 'contracts', 'customer satisfaction', 'customer service', 'customer support', 'fashion', 'fast', 'functional', 'marketing strategies', 'marketing', 'market', 'marketing material', 'networking', 'payroll', 'progress', 'promotion', 'quality', 'selling', 'sales', 'script', 'strategic', 'telephone', 'phone', 'training manuals']",['Mesa High School'],['High School Diploma'],['2012'],['4.0'],['GPA'],['N/A'],"['Company Name', 'Company Name', 'Company Name', 'Company Name']","[None, None, None, None]","['08/2015', '03/2015', '06/2014', '04/2014']","[None, '08/2015', '03/2015', '06/2014']","[['networking', 'content marketing', 'sales', 'customer service', 'marketing'], ['promotion', 'advertising', 'marketing', 'sales', 'cross-functional work'], ['customer support', 'training manuals', 'communication', 'product knowledge', 'service quality'], ['customer service', 'communication', 'problem solving']]","['Business Development Manager', 'Event Manager', 'Customer Service Call Center Manager', 'Customer Service Representative / Call Center']","['City, State', 'City, State', 'City, State', 'City, State']","Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",,,,,,,,,"https://github.com/yukihiro-matz, https://leetcode.com/takeuforward",,,Data Engineer,Bachelor of Science (BSc),5 to 8 years,,"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","Azure
Big Data
Data Analytics
ETL Tools
Power BI
SQL",0.716666667
,Fresher Computer vision and Machine Learning Engineer looking for a job that is both challenging and fun in terms of problem-solving. Also an expert in maintaining and managing Tableau and Power BI dashboards to address business.,"['Machine learning', 'Deep learning', 'Computer vision', 'Image processing', 'Neural networks', 'Contextual Reasoning']",['IIT Guwahati'],['B.Tech'],['2021'],['N/A'],['N/A'],['Computer Science'],,,,,,,,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting","['Club Membership', 'Competition']","['Student Council', 'IIT Conjugation']","['N/A', 'N/A']","['Honorary member', 'Innovator of the year runner up']",,,,,"https://github.com/wesbos, https://leetcode.com/testuser123",,,"Full Stack Developer (Python,React js)",Bachelor/Honors,3 to 7 years,,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,0.65
,,"['QA Engineering software expertise - Design, Estimate, Execute, Maintain and Document.', 'Technical communication skills - Bug Triage, reporting, technical reviews, Root cause analysis', 'Automation tools - Design and Implement', 'Collaborating with stakeholders - Roadmap, Managing releases, Demos, Risk mitigation planning', 'Test Methodologies: Regression Testing, Black box testing, Sanity testing, boundary analysis, requirement analysis (Static testing), Performance Testing, system integration testing, functional testing, manual testing.', 'Test Artifacts: Test Estimation, Test plan, Test coverage, Traceability matrix, bug tracking, automation design, Test scenario engineering', 'Programming Tools: Python, Katalon studio, XLS data input, UNIX Shell/PERL scripting, Groovy, REST, JSON, XML, ISO 8583, EMV tags, TCP, HTTP, POSTMAN, curl-siege, Jmeter, COBOL, JCL, CICS, Postman', 'Operating Systems: Unix-AIX, Unix-Solaris, Linux, Windows, IBM-AIX', 'Virtual Systems: VMWare, VSphere, Proxmox', 'Payment terminals: VeriFone, Ingenico, Equinox, PAX and Innowi, Key Management, KPI, DUKPT, Key Injection, KEK', 'Version Control Tools: Git-bash, Git-stash, Git-lab, TorquiseSVN, SourceTree, VSS', 'Database and Tools: Oracle 11g, Oracle 12c, PostgreSQL, MongoDB, PGAdmin 4, SQL Developer, SQL management studio, Toad, DB2', 'Project Management: Confluence, Jira, Microsoft Office Suite, Bugzilla, redmine, HP Quality center', 'Project Management Methodologies: Agile, Scrum, Waterfall, Iterative', 'Talent Management tools: HireRight, iCIMS', 'POS Systems: Micros, Restaurant Manager, Symphony, positouch, broadPOS', 'EMV Systems : BTT (UL), ICCVerify, VCMS, VTS, Astrex, Discover RCT, ATS, MAS, MDFS, ACI-Interchange, ACI-PRM, ACI- ADM, TSYS CertifyNow, FirstData CertPro and more']","['Devi Ahilya University', 'Devi Ahilya University']","['Master of Computer Applications (MCA)', 'Bachelors of Science']","['2005', '2002']","[None, None]","[None, None]","['Computer Applications, Software Engineering, Databases, Networking, and Operating Systems', 'Electronics']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['01/2016', '04/2015', '09/2005']","['Current', '01/2016', '04/2015']","[None, None, None]","['QA Engineering Manager', 'Software Certification Analyst', 'Project Lead']","['City , State', 'City , State', 'City , State']","Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",,,,,,,"['Certified Scrum Master (CSM)', 'Certified Tester Foundation Level (CTFL)', 'Agile Scrum Foundation', 'LinkedIn', 'LinkedIn', 'LinkedIn']","[None, None, None, ['Python'], ['Python: XML, JSON, and the Web'], ['SQL for Testers']]","https://github.com/funfunfunction, https://leetcode.com/anuragsri96","[None, None, None, None, None, None]","['May 2022', None, None, None, None, None]",Marketing Officer,Bachelor/Honors,At least 1 year,,"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO","Corporate Marketing
Facebook Ads Manager
Facebook campaign
Facebook marketing
Google Ads
Google analytics
Market Researc
Marketing
Search Engine Optimization (SEO)",0.35
"Euclid, OH",Computer Repair Technician,"['iFixit Pro Tech Toolkit', 'PassMark MemTest86', 'Malwarebytes', 'Recuva', 'Ultimate Boot CD (UBCD)', 'Windows Installation USB/DVD', 'TeamViewer', 'Driver Booster', 'Falcon Dust-Off Compressed Gas Duster', 'Fluke 115 Compact True-RMS Digital Multimeter']",['DeVry University'],['Associate of Applied Science'],['2018'],[None],[None],['Electronics and Computer Technology'],"['YZA Technologies', 'Sherwin-Williams', 'OhioHealth']","[None, None, None]","['2022', '2020', '2018']","['current', '2022', '2020']","[['iFixit Pro Tech Toolkit', 'Fluke 115 Compact True-RMS Digital Multimeter', 'Windows Installation USB/DVD', 'Recuva'], ['Driver Booster', 'PassMark MemTest86', 'Falcon Dust-Off Compressed Gas Duster', 'Ultimate Boot CD (UBCD)'], ['TeamViewer', 'iFixit Pro Tech Toolkit', 'Malwarebytes']]","['Computer Repair Technician', 'Computer Technician', 'Help Desk Technician']","['Euclid, OH', 'Cleveland, OH', 'Columbus, OH']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,,,,,,,,"https://github.com/funfunfunction, https://leetcode.com/neetcode",,,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,Age 25 to 32 years,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",0.55
,"To obtain a position in a fast-paced business office environment, demanding a strong organizational, technical, and interpersonal position utilizing my skills and attributes.","['accounts payables', 'accounts receivables', 'Accounts Payable', 'Accounts Receivable', 'administrative functions', 'trial balance', 'banking', 'budget', 'bi', 'closing', 'Computer Applications', 'Credit', 'clients', 'Customer Service', 'data entry', 'delivery', 'driving', 'email', 'insurance', 'inventory', 'ledger', 'Access', 'Excel', 'Outlook', 'PowerPoint', 'Word', 'mortgage loan', 'Enterprise', 'policies', 'QuickBooks', 'Sales', 'sales reports', 'telecommunications', 'phone', 'workflow', 'written']","['Martinez Adult Education, Business Training Center ï¼ City , State']",['Computer Applications Specialist Certificate Program'],['2008'],[None],[None],['Computer Applications'],"['Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'Company Name ï¼ City , State', 'N/A']","[None, None, None, None, None, None]","['January 2011', 'January 2008', 'January 2006', 'January 2004', 'January 2001', 'N/A']","['November 2015', 'January 2010', 'January 2008', 'January 2006', 'January 2004', None]","[['accounts receivables', 'banking', 'G/L Accounts', 'accounts payables', 'credit cards', 'reconcile', 'commission reports', 'credit checks', 'customer service', 'international travel'], ['data entry', 'accounts receivable', 'cash handling', 'customer communication', 'inventory reports', 'problem-solving'], ['mortgage processing', 'analytical aptitude', 'credit reports', 'customer communication'], ['commercial auto underwriting', 'data entry', 'application review', 'customer communication'], ['personal auto underwriting', 'data entry', 'policy review', 'customer service'], ['training', 'medical record review', 'data entry', 'document design', 'customer service', 'team performance']]","['Accountant', 'Accounts Receivable Clerk', 'Mortgage Underwriter', 'Commercial Auto Underwriter', 'Personal Auto Underwriter', 'Claims Examiner']","['City, State', 'City, State', 'City, State', 'City, State', 'City, State', 'N/A']","Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",,,,,,,,,"https://github.com/bradtraversy, https://leetcode.com/Um_nik",,,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)",Bachelor/Honors,4 to 5 years,,"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution","Cisco
Linux
Operation & Maintenance of Server",0.76
,Post Graduate Analyst experienced in Business Management and Statistical Analysis. I have a very good grasp on finding the best solution for a business and applying them.,"['Data Analysis', 'Business Analysis', 'Statistical Analysis', 'Regression Analysis', 'Natural Language Processing', 'Machine Learning', 'Numerical Analysis']","['IISc', 'IIIT Bangalore']","['BSc', 'MSc']","['2018', '2020']","['N/A', 'N/A']","['N/A', 'N/A']","['Statistics', 'Data Analysis and Statistical Computation']",['BVB'],['N/A'],['Jan 2020'],['Oct 2020'],"[['NLP', 'ML', 'Amazon Comprehend Medical API']]",['Statistical Analyst'],['N/A'],"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,,,,,,['Tableau'],[['Natural Learning Processing']],"https://github.com/torvalds, https://leetcode.com/practice2024",['2020'],['N/A'],AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","Python
R or Java
TensorFlow
PyTorch
Scikit-learn.",0.816666667
,,"['accounting', 'balance sheet', 'budgets', 'client', 'clients', 'derivatives', 'drafting', 'equity', 'financial', 'financial accounting', 'financial statements', 'fixed assets', 'Funds', 'Government', 'Information Technology', 'inventory', 'investments', 'ledger', 'MA', 'Microsoft Excel', 'natural', 'page', 'payables', 'processes', 'programming', 'Real Estate', 'research', 'sales', 'scheme', 'telephone', 'writing skills']","['EMORY UNIVERSITY, Goizueta Business School']",['Bachelor of Business Administration'],['2007'],['3.63/4.0'],['GPA'],['Accounting'],"['Company Name', 'Company Name', 'Company Name', 'Sole Proprietorship']","[None, None, None, None]","['June 2011', 'March 2010', 'June 2007', 'August 2006']","['Current', 'June 2011', 'March 2010', 'May 2007']","[['financial statements', 'reconcile', 'audit', 'budgets'], ['financial statements', 'management fee', 'MSREF', 'cash movement', 'Excel', 'programming'], ['research', 'fraud detection', 'audit', 'analysis', 'memorandums', 'FBI'], ['teaching', 'financial accounting', 'question creation', 'private sessions']]","['Senior Accountant', 'Associate Fund Controller', 'Advisory, Forensic and Audit Associate', 'Accounting Tutor']","['City , State', 'City , State', 'City , State', 'City , State']","Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",['Community Service'],['Fulton County CASA Board of Directors'],[None],"['Member, Treasurer']",,,"['CPA', 'CFE (Certified Fraud Examiner)']","[['accounting'], ['fraud detection']]","https://github.com/kennethreitz, https://leetcode.com/tmwilliamlin168","['N/A', 'N/A']","[None, None]",HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,Age 18 to 30 years,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",Human Resource Management,0.693333333
,Recently graduated fresher experienced in Machine Learning and Natural Language Processing looking for roles that involve projects in the same.,"['Python Programming', 'Machine Learning', 'Natural language Processing', 'Numpy', 'NLTK', 'Text Analysis', 'Transformers', 'Series Analysis', 'Conversational AI']",['KCCE University'],['B.Tech'],['2019'],['N/A'],['N/A'],['Computers'],['eLevaTe LtD.'],[None],['Apr 2019'],['till date'],"[['Machine Learning', 'Natural Language Processing']]",['Machine Learning Developer'],['N/A'],"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","['Machine Learning', 'Big Data Analytics']","['Py-Thonist', None]","[None, None]","[None, None]",,,,,"https://github.com/sample-dev, https://leetcode.com/ecnerwala",,,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,Age 25 to 32 years,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",0.693333333
,Extremely motivated to constantly develop my skills and grow professionally. I am confident in my ability to come up with innovative solutions and maintain better software development practices.,"['Python', 'Machine Learning', 'Deep Learning', 'Data Analysis', 'Computer Vision', 'AWS', 'Scikit-Learn', 'Numpy', 'Java', 'C++', 'SAP']",['V.V.I.T'],['B.TECH'],['2018'],['N/A'],['N/A'],['N/A'],['ACS Solutions Pvt. Ltd.'],['N/A'],['May 2018'],['Ongoing'],"[['Machine Learning', 'React', 'MQTT', 'Cloud']]",['SOFTWARE ENGINEER - MACHINE LEARNING'],['N/A'],"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",['Competition'],['BITS GOA'],['N/A'],"['RUNNER-UP, SOLINOVATE']",,,,,"https://github.com/hackathon-test, https://leetcode.com/takeuforward",,,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",Master of Business Administration (MBA),At least 3 years,,"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","Brand Promotion
Campaign Management
Field Supervision
Merchandising
promotional activities
Trade Marketing",0.65
,"Leadership and team building oriented mentality. Working towards of being a better professional, someone on whom a company can easily rely on. Looking for roles where I can learn and grow my skillset.","['DBMS', 'RDBMS', 'Software Developer', 'Software Engineer', 'Java', 'SAS', 'SQL', 'Business Intelligence', 'Learning Algorithm', 'Machine Learning', 'Python']",['Vellore Institute of Technology (VIT)'],['Integrated B.Tech & M.Tech'],['2021'],['N/A'],['N/A'],['Software Engineering'],['Cognibot'],['N/A'],['May 2020'],['Dec 2020'],"[['Software Development', 'Teamwork']]",['Intern'],['N/A'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",['Programming'],['N/A'],['N/A'],['Python Programming'],,,,,"https://github.com/nicowillis, https://leetcode.com/takeuforward",,,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.783333333
,,"['Army', 'basic', 'bridges', 'inspection', 'Inspects', 'Marconi', 'Office', 'Radar', 'multi-meters', 'oscilloscopes', 'personnel', 'radio', 'Read', 'Safety', 'signal generators', 'Telephone', 'troubleshooting', 'VHF']","['University of *Strong Vincent HS', 'Intermediate Electronic Principles, Keesler AFB, MS', '*Telephone Central Office Repair', '*HAZMAT Familiarization/Safety Transport', '*Forward Area Alerting Radar Repairer']","['Diploma', 'N/A', 'N/A', 'N/A', 'N/A']","['2001', '2010', '1987', '2007', '1990']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['N/A', 'N/A', 'N/A', 'N/A', 'N/A']","['Company Name', 'Company Name', 'Company Name']","[None, None, None]","['January 2012', 'January 2000', 'January 1992']","['January 2013', 'Current', 'January 2000']","[['Supervised construction', 'Read and interpret construction drawings', 'Estimate material, time, labor, and equipment', 'Inspect structures'], ['Circuit analysis', 'Complex test instruments', 'Engineering tools'], ['Circuit analysis', 'Complex test instruments', 'Engineering tools']]","['Construction Engineering Supervisor', 'Combat Engineer', 'Combat Engineer']","['City, State', 'City, State', 'N/A']","Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",,,,,,,,,"https://github.com/yyx990803, https://leetcode.com/takeuforward",,,Data Science Engineer,Bachelor of Science (BSc) in Computer Science & Engineering,At least 2 years,Age 25 to 32 years,"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","Business Analysis
Effective communication skills
Java
REST API Design
Soft Skills
Software Development",0.343333333
,,"['Data Analytics', 'Natural Language Processing', 'Production Engineering', 'Production Analytics', 'Tableau', 'Machine Learning', 'Python', 'NLTK']",['SMV Institute of Technology'],['B.Tech'],['2019'],['N/A'],['N/A'],['Electrical and Electronics'],['Mahindra Ltd'],['N/A'],['2019'],['TILL DATE'],"[['Data Analytics', 'Production Engineering', 'Machine Learning']]",['Assistant Analyst'],['N/A'],"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",['Course'],['Google'],['N/A'],['Beginner'],,,,,"https://github.com/academind, https://leetcode.com/striver_79",,,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","iOS
iOS App Developer
iOS Application Development
iOS Development
Mobile apps Developer (iOS)
Native IOS
Swift (iOS)
Swift UI",0.65
,,"['R', 'Python', 'Tableau', 'Power BI', 'SQL', 'SAS', 'Deep Learning', 'Neural Networks', 'Artificial Intelligence']",['NARSEE MONJEE INSTITUTE'],['BCA'],['2020'],['N/A'],['N/A'],['N/A'],['DENA FUNDS'],['N/A'],['APR 2020'],['TILL DATE'],"[['predictive data analysis', 'large scale data handling']]",['BUSINESS ANALYST'],['N/A'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",['N/A'],['N/A'],['N/A'],['N/A'],,,['N/A'],[None],"https://github.com/kentcdodds, https://leetcode.com/ecnerwala",['N/A'],['N/A'],Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,Age at least 28 years,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","•Administration
•Health Safety and Environment
•Safety and Security Management",0.65
,"Software developer focused in the areas of Machine learning application development. Motivated to learn, grow and excel my experience by challenging myself.","['Software Engineer', 'Data Analyst', 'Machine Learning', 'Text Analytics', 'Software Development', 'Object Oriented Programming', 'Pandas', 'Numpy', 'Java', 'Python', 'SpringBoot', 'Laravel']",['Dr. Jagjiban Rao Engineering College'],['B.Tech'],['2019'],[None],[None],['ECE'],['KLP Technology Solutions'],[None],['Jan 2019'],['till date'],"[['Machine Learning', 'Software Engineering', 'Feature Engineering', 'Evaluation Methods']]",['Software Engineer'],['N/A'],"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",['UI/UX Development'],['OnDevice Machine Learning'],[None],[None],,,,,"https://github.com/sample-dev, https://leetcode.com/tourist",,,Asst. Manager/ Manger (Administrative),Bachelor/Honors,At least 5 years,Age at least 28 years,"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation","•Administration
•Health Safety and Environment
•Safety and Security Management",0.65
